scanner ID,target ID,sequence number,transmission_time year,transmission_time month,transmission_time day,transmission_time hour,transmission_time minute,transmission_time second,transmission_time millisecond,data identification,data length,data number,status,type of object,data reliablity,object ID,detection_time year,detection_time month,detection_time day,detection_time hour,detection_time minute,detection_time second,detection_time millisecond,1X,1Y,2X,2Y,X speed,Y speed,length,width,height
5213,5201,438,2021,6,24,19,52,2,74,SD,144,3,2,10,0,70,2021,6,24,19,52,2,73,8452,-636,8659,-636,0,0,499,207,165
,,,,,,,,,,,,,,12,0,69,2021,6,24,19,52,2,73,2739,83,2821,83,-835,10,185,82,184
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,2,73,4510,463,4719,463,-1068,10,481,208,167
5213,5201,439,2021,6,24,19,52,2,310,SD,144,3,2,10,0,70,2021,6,24,19,52,2,310,8291,-644,8498,-644,-678,-31,485,207,166
,,,,,,,,,,,,,,12,0,69,2021,6,24,19,52,2,310,2547,76,2630,76,-808,-29,190,82,189
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,2,310,4252,465,4462,465,-1070,5,476,210,167
5213,5201,440,2021,6,24,19,52,2,539,SD,144,3,2,10,0,70,2021,6,24,19,52,2,538,8099,-626,8311,-626,-819,75,498,211,168
,,,,,,,,,,,,,,12,0,69,2021,6,24,19,52,2,538,2418,77,2339,77,-954,2,186,79,184
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,2,538,3981,458,4180,458,-1214,-26,442,199,156
5213,5201,441,2021,6,24,19,52,2,796,SD,144,3,2,10,0,70,2021,6,24,19,52,2,795,7902,-642,8109,-642,-776,-61,477,207,169
,,,,,,,,,,,,,,12,0,69,2021,6,24,19,52,2,795,2140,80,2215,80,-764,12,171,74,178
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,2,795,3760,458,3958,458,-875,-2,488,198,164
5213,5201,442,2021,6,24,19,52,3,54,SD,144,3,2,10,0,70,2021,6,24,19,52,3,53,7717,-634,7923,-634,-724,30,478,206,167
,,,,,,,,,,,,,,10,0,69,2021,6,24,19,52,3,53,1946,66,1797,66,-1174,-54,352,149,172
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,3,53,3510,465,3714,465,-964,26,478,203,165
5213,5201,443,2021,6,24,19,52,3,313,SD,180,4,2,10,0,72,2021,6,24,19,52,3,312,7147,419,7370,419,0,0,467,224,183
,,,,,,,,,,,,,,10,0,70,2021,6,24,19,52,3,312,7723,-628,7514,-628,-780,22,475,209,167
,,,,,,,,,,,,,,10,0,69,2021,6,24,19,52,3,312,1723,63,1574,63,-858,-11,352,149,172
,,,,,,,,,,,,,,10,0,61,2021,6,24,19,52,3,312,3261,461,3467,461,-929,-15,486,206,165
5213,5201,444,2021,6,24,19,52,3,548,SD,180,4,2,10,0,73,2021,6,24,19,52,3,546,8799,-619,8557,-619,0,0,650,242,237
,,,,,,,,,,,,,,10,0,72,2021,6,24,19,52,3,546,6735,380,6958,380,-1758,-167,467,224,183
